Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,Processor Cores,System Family,System Model,Operating System,Accelerator,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
1,RIKEN Advanced Institute for Computational Science (AICS),Fujitsu,"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect",Japan,2011,548352,8162000,8773630,10725120,0,9898.56,Sparc,SPARC64 VIIIfx,2000,8,Fujitsu Cluster,K computer,Linux,None,Cluster,Research,Research,Custom,Custom,Eastern Asia,Asia
2,National Supercomputing Center in Tianjin,NUDT,"NUDT TH MPP, X5670 2.93Ghz 6C, NVIDIA GPU, FT-1000 8C",China,2010,186368,2566000,4701000,3600000,1000000,4040,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,NUDT MPP,NUDT YH MPP,Linux,NVIDIA 2050,MPP,Research,Research,Proprietary,Proprietary,Eastern Asia,Asia
3,DOE/SC/Oak Ridge National Laboratory,Cray Inc.,Cray XT5-HE Opteron 6-core 2.6 GHz,United States,2009,224162,1759000,2331000,5474272,0,6950.6,AMD x86_64,AMD x86_64 Opteron Six Core,2600,6,Cray XT,Cray XT5-HE,Linux,None,MPP,Research,Not Specified,Proprietary,Proprietary,North America,Americas
4,National Supercomputing Centre in Shenzhen (NSCS),Dawning,"Dawning TC3600 Blade, Intel X5650, NVidia Tesla C2050 GPU",China,2010,120640,1271000,2984300,2359296,0,2580,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,Dawning Cluster,Dawning TC3600 Blade System,Linux,NVIDIA 2050,Cluster,Research,Research,Infiniband,Infiniband QDR,Eastern Asia,Asia
5,"GSIC Center, Tokyo Institute of Technology",NEC/HP,"HP ProLiant SL390s G7 Xeon 6C X5670, Nvidia GPU, Linux/Windows",Japan,2010,73278,1192000,2287630,2490368,0,1398.61,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000SL,Cluster Platform SL390s G7,Linux,NVIDIA 2050,Cluster,Academic,Research,Infiniband,Infiniband QDR,Eastern Asia,Asia
6,DOE/NNSA/LANL/SNL,Cray Inc.,Cray XE6 8-core 2.4 GHz,United States,2011,142272,1110000,1365810,0,0,3980,AMD x86_64,AMD x86_64 Opteron 8 Core,2400,8,Cray XE,Cray XE6,Linux,None,MPP,Research,Not Specified,Custom,Custom,North America,Americas
7,NASA/Ames Research Center/NAS,SGI,"SGI Altix ICE 8200EX/8400EX, Xeon HT QC 3.0/Xeon 5570/5670 2.93 Ghz, Infiniband",United States,2011,111104,1088000,1315330,3344040,0,4102,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,SGI Altix,SGI Altix ICE 8200EX/8400EX,Linux,None,MPP,Research,Aerospace,Infiniband,Infiniband,North America,Americas
8,DOE/SC/LBNL/NERSC,Cray Inc.,Cray XE6 12-core 2.1 GHz,United States,2010,153408,1054000,1288630,4537344,0,2910,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,Cray XE,Cray XE6,Linux,None,MPP,Research,Research,Custom,Custom,North America,Americas
9,Commissariat a l'Energie Atomique (CEA),Bull SA,Bull bullx super-node S6010/S6030,France,2010,138368,1050000,1254550,4926336,0,4590,Intel EM64T,Intel EM64T Xeon 75xx (Nehalem-EX),2260,8,Bull Bullx,bullx super-node S6010/S6030,Linux,None,Cluster,Research,Defense,Infiniband,Infiniband QDR,Western Europe,Europe
10,DOE/NNSA/LANL,IBM,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Voltaire Infiniband",United States,2009,122400,1042000,1375780,2249343,0,2345.5,Power,PowerXCell 8i,3200,9,IBM BladeCenter,BladeCenter QS22 Cluster,Linux,IBM PowerXCell 8i,Cluster,Research,Not Specified,Infiniband,Infiniband,North America,Americas
11,National Institute for Computational Sciences/University of Tennessee,Cray Inc.,Cray XT5-HE Opteron Six Core 2.6 GHz,United States,2011,112800,919100,1173000,3844936,0,3090,AMD x86_64,AMD x86_64 Opteron Six Core,2600,6,Cray XT,Cray XT5-HE,Linux,None,MPP,Academic,Research,Proprietary,Proprietary,North America,Americas
12,Forschungszentrum Juelich (FZJ),IBM,Blue Gene/P Solution,Germany,2009,294912,825500,1002700,0,0,2268,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,None,MPP,Research,Research,Proprietary,Proprietary,Western Europe,Europe
13,Moscow State University - Research Computing Center,T-Platforms,"T-Platforms T-Blade2/1.1, Xeon X5570/X5670 2.93 GHz, Nvidia 2070 GPU, Infiniband QDR",Russia,2011,33072,674105,1373060,2073599,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,T-Platforms Cluster,T-Platforms T-Blade2,Linux,NVIDIA 2070,Cluster,Academic,Not Specified,Infiniband,Infiniband,Eastern Europe,Europe
14,DOE/NNSA/LLNL,IBM,eServer Blue Gene Solution,United States,2007,212992,478200,596378,2456063,0,2329.6,Power,PowerPC 440,700,2,IBM BlueGene,BlueGene/L,CNK/SLES 9,None,MPP,Research,Not Specified,Proprietary,Proprietary,North America,Americas
15,DOE/SC/Argonne National Laboratory,IBM,Blue Gene/P Solution,United States,2007,163840,458611,557056,0,0,1260,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,None,MPP,Research,Research,Proprietary,Proprietary,North America,Americas
16,Sandia National Laboratories / National Renewable Energy Laboratory,Oracle,"Sun Blade x6275, Xeon X55xx 2.93 Ghz, Infiniband",United States,2010,42440,433500,497396,2504421,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Sun Blade System,Sun Blade x6275,CentOS,None,Cluster,Research,Not Specified,Infiniband,Infiniband,North America,Americas
17,Texas Advanced Computing Center/Univ. of Texas,Oracle,"SunBlade x6420, Opteron QC 2.3 Ghz, Infiniband",United States,2008,62976,433200,579379,0,0,2000,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Sun Blade System,Sun Blade x6420,Linux,None,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas
18,DOE/NNSA/LLNL,IBM,Blue Gene/P Solution,United States,2009,147456,415700,501350,2958335,0,1134,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,None,MPP,Research,Research,Proprietary,Proprietary,North America,Americas
19,Air Force Research Laboratory,Cray Inc.,Cray XE6 8-core 2.4 GHz,United States,2010,42712,336300,410035,0,0,0,AMD x86_64,AMD x86_64 Opteron 8 Core,2400,8,Cray XE,Cray XE6,Linux,None,MPP,Research,Defense,Custom,Custom,North America,Americas
20,Korea Meteorological Administration,Cray Inc.,Cray XE6 12-core 2.1 GHz,"Korea, South",2010,45120,316400,379008,0,0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,Cray XE,Cray XE6,Linux,None,MPP,Research,Weather and Climate Research,Custom,Custom,Eastern Asia,Asia
21,Korea Meteorological Administration,Cray Inc.,Cray XE6 12-core 2.1 GHz,"Korea, South",2010,45120,316400,379008,0,0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,Cray XE,Cray XE6,Linux,None,MPP,Research,Weather and Climate Research,Custom,Custom,Eastern Asia,Asia
22,Universitaet Frankfurt,Clustervision/Supermicro,"Supermicro Cluster, QC Opteron 2.1 GHz, ATI Radeon GPU, Infiniband",Germany,2011,16368,299300,508499,2095104,0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,Supermicro Cluster,Supermicro SuperServer,Linux,ATI GPU,Cluster,Academic,Research,Infiniband,Infiniband QDR,Western Europe,Europe
23,Government,Cray Inc.,Cray XE6 12-core 2.2 GHz,United States,2010,45504,295500,400435,0,0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2200,12,Cray XE,Cray XE6,Linux,None,MPP,Classified,Not Specified,Custom,Custom,North America,Americas
24,University of Edinburgh,Cray Inc.,Cray XE6 12-core 2.1 GHz,United Kingdom,2011,44376,279636,372758,0,0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,Cray XE,Cray XE6,Linux,None,MPP,Academic,Research,Custom,Custom,Northern Europe,Europe
25,Forschungszentrum Juelich (FZJ),Bull SA,"Sun Constellation, NovaScale R422-E2, Intel Xeon X5570, 2.93 GHz, Sun M9/Mellanox  QDR Infiniband/Partec Parastation",Germany,2009,26304,274800,308283,0,0,1549,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Sun-Bull-ParTec Cluster,NovaScale R422-E2/Sun Blade 6048 system,SUSE Linux,None,Cluster,Research,Not Specified,Infiniband,Infiniband QDR Sun M9 / Mellanox / ParTec,Western Europe,Europe
26,KISTI Supercomputing Center,Oracle,"Sun Blade x6048,  X6275, IB QDR M9 switch, Sun HPC stack Linux edition","Korea, South",2009,26232,274800,307439,0,0,1275.96,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Sun Blade System,Sun Blade 6048,CentOS,None,Cluster,Research,Not Specified,Infiniband,Infiniband,Eastern Asia,Asia
27,DOE/SC/LBNL/NERSC,Cray Inc.,Cray XT4 QuadCore 2.3 GHz,United States,2008,38642,266300,355506,1612399,0,1150,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT4 QuadCore,CNL,None,MPP,Research,Not Specified,Proprietary,XT4 Internal Interconnect,North America,Americas
28,Texas Advanced Computing Center/Univ. of Texas,Dell,"Dell PowerEdge M610 Cluster, Xeon 5680 3.3Ghz, Infiniband QDR",United States,2011,22656,251800,301777,2128224,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),3330,6,Dell PowerEdge Cluster,PowerEdge M610 Cluster,Linux,None,Cluster,Academic,Research,Infiniband,Infiniband QDR,North America,Americas
29,Manufacturing Company,Hewlett-Packard,"Cluster Platform 3000 BL260c G6, X5675 3.06 GHz, Infiniband",France,2011,24192,243900,296110,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),3060,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL260c G6,Linux,None,Cluster,Industry,Not Specified,Infiniband,Infiniband QDR,Western Europe,Europe
30,Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Supérieur (GENCI-CINES),SGI,"SGI Altix ICE 8200EX, Xeon E5472 3.0/X5560 2.8 GHz",France,2010,23040,237800,267878,2487240,0,1064,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,SGI Altix,SGI Altix ICE 8200EX,SLES10 + SGI ProPack 5,None,MPP,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe
31,KTH - Royal Institute of Technology,Cray Inc.,Cray XT6m 12-Core 2.1 GHz,Sweden,2011,36384,237200,305626,1306392,0,658.35,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,Cray XT,Cray XT6m,Linux,None,MPP,Academic,Not Specified,Custom,Custom,Northern Europe,Europe
32,Universitaet Aachen/RWTH,Bull SA,"Bullx B500 Cluster, Xeon X56xx 3.06Ghz, QDR Infiniband",Germany,2011,25448,219838,270538,2145920,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),3060,6,Bull Bullx,Bullx B500 Cluster,Linux,None,Cluster,Academic,Research,Infiniband,Infiniband QDR,Western Europe,Europe
33,"Institute of Process Engineering, Chinese Academy of Sciences","IPE, Nvidia, Tyan","Mole-8.5 Cluster Xeon L5520 2.26 Ghz, nVidia Tesla, Infiniband",China,2010,33120,207300,1138440,1113600,0,0,Intel EM64T,Intel EM64T Xeon L55xx (Nehalem-EP),2260,4,Custom Cluster,Mole-8.5 Cluster Xeon/Tesla/Mellanox QDR Infiniband,Linux,NVIDIA 2050,Cluster,Academic,Not Specified,Infiniband,Infiniband QDR,Eastern Asia,Asia
34,INPE (National Institute for Space Research),Cray Inc.,Cray XT6 12-core 2.1 GHz,Brazil,2010,30720,205100,258048,0,0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,Cray XT,Cray XT6,Linux,None,MPP,Research,Weather and Climate Research,Custom,Custom,South America,Americas
35,DOE/SC/Oak Ridge National Laboratory,Cray Inc.,Cray XT4 QuadCore 2.1 GHz,United States,2008,30976,205000,260200,2466816,0,1580.71,AMD x86_64,AMD x86_64 Opteron Quad Core,2100,4,Cray XT,Cray XT4 QuadCore,CNL,None,MPP,Research,Research,Proprietary,XT4 Internal Interconnect,North America,Americas
36,Sandia National Laboratories,Cray Inc.,Cray XT3/XT4,United States,2009,38208,204200,284000,0,0,2506,AMD x86_64,AMD x86_64 Opteron Dual Core,2400,2,Cray XT,Cray XT3/XT4,Linux,None,MPP,Research,Research,Proprietary,Proprietary,North America,Americas
37,NOAA/Oak Ridge National Laboratory,Cray Inc.,"Cray XT6-HE, Opteron 6100 12C 2.1GHz",United States,2010,30912,194400,259661,2624384,0,610.7,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,Cray XT,Cray XT6-HE,Linux,None,MPP,Research,Weather and Climate Research,Custom,Custom,North America,Americas
38,Japan Atomic Energy Agency (JAEA),Fujitsu,"BX900 Xeon X5570 2.93GHz , Infiniband QDR",Japan,2009,17072,191400,200080,2401344,0,831.23,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Fujitsu Cluster,Fujitsu Cluster,Linux,None,Cluster,Research,Research,Infiniband,Infiniband QDR,Eastern Asia,Asia
39,King Abdullah University of Science and Technology,IBM,Blue Gene/P Solution,Saudi Arabia,2009,65536,190900,222822,0,0,504,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,None,MPP,Academic,Not Specified,Proprietary,Proprietary,Western Asia,Asia
40,Shanghai Supercomputer Center,Dawning,"Dawning 5000A, QC Opteron 1.9 Ghz, Infiniband, Windows HPC 2008",China,2008,30720,180600,233472,0,0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,1900,4,Dawning Cluster,Dawning 5000A,Windows HPC 2008,None,Cluster,Research,Research,Infiniband,Infiniband DDR,Eastern Asia,Asia
41,Government,Hewlett-Packard,"Cluster Platform 3000 BL2x220, L54xx 2.5 Ghz, Infiniband",France,2009,24704,179634,247040,0,0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,None,Cluster,Government,Not Specified,Infiniband,Infinband DDR 4x,Western Europe,Europe
42,Taiwan National Center for High-performance Computing,Acer Group,"Acer AR585 F1 Cluster, Opteron 12C 2.2GHz, QDR infiniband",Taiwan,2011,26244,177100,231859,2301696,0,800,AMD x86_64,AMD x86_64 Opteron 12 Core,2200,12,Acer Group Cluster,Acer AR585 F1 Cluster,Linux,None,Cluster,Research,Research,Infiniband,Infiniband QDR,Eastern Asia,Asia
43,EDF R&D,IBM,"iDataPlex, Xeon X56xx 6C 2.93 GHz, Infiniband",France,2010,16320,168800,191270,1958400,0,510,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM iDataPlex,xSeries iDataPlex,Linux,None,Cluster,Industry,Energy,Infiniband,Infiniband,Western Europe,Europe
44,Swiss Scientific Computing Center (CSCS),Cray Inc.,Cray XT5 SixCore 2.4 GHz,Switzerland,2009,22032,168700,211507,1798464,0,713,AMD x86_64,AMD x86_64 Opteron Six Core,2400,6,Cray XT,Cray XT5 SixCore,CNL,None,MPP,Research,Not Specified,Proprietary,XT4 Internal Interconnect,Western Europe,Europe
45,SciNet/University of Toronto,IBM,"iDataPlex, Xeon E55xx QC 2.53 GHz, GigE",Canada,2009,30240,168600,306029,0,0,869.4,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM iDataPlex,xSeries iDataPlex,Linux,None,Cluster,Research,Research,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
46,Lawrence Livermore National Laboratory,Dell,"Dell Xanadu 3 Cluster, Xeon X5660 2.8 Ghz, QLogic InfiniBand QDR",United States,2010,21756,166700,243667,1973166,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2800,6,Dell Xanadu,Dell Xanadu 3 Cluster,Linux,None,Cluster,Research,Energy,Infiniband,Infiniband QDR,North America,Americas
47,Government,Cray Inc.,Cray XT5 QC 2.4 GHz,United States,2009,20960,165600,201216,0,0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2400,4,Cray XT,Cray XT5 QuadCore,CNL,None,MPP,Government,Defense,Proprietary,XT4 Internal Interconnect,North America,Americas
48,University of Tokyo/Institute for Solid State Physics,SGI,"SGI Altix ICE 8400EX Xeon X5570 4-core 2.93 GHz, Infiniband",Japan,2010,15360,161800,180019,2351496,0,719.3,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,SGI Altix,SGI Altix ICE 8400EX,Linux,None,MPP,Academic,Not Specified,Infiniband,Infiniband QDR,Eastern Asia,Asia
49,ERDC DSRC,SGI,"SGI Altix ICR 8200 Enh. LX, Xeon X5560 2.8Ghz",United States,2009,15360,160200,172032,2280600,0,774.5,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,SGI Altix,SGI Altix ICE 8200 Enhanced LX,SLES10 + SGI ProPack 5,None,MPP,Research,Defense,Infiniband,Infiniband DDR,North America,Americas
50,IBM Poughkeepsie Benchmarking Center,IBM,"Power 775, Power7 3.836 GHz",United States,2011,6912,159600,212115,0,0,423.12,Power,POWER7,3836,8,IBM pSeries,Power 775,AIX,None,MPP,Vendor,Benchmarking,Custom,Custom,North America,Americas
51,ERDC DSRC,Cray Inc.,Cray XE6 8-core 2.4 GHz,United States,2010,20176,153000,193690,0,0,0,AMD x86_64,AMD x86_64 Opteron 8 Core,2400,8,Cray XE,Cray XE6,Linux,None,MPP,Research,Not Specified,Custom,Custom,North America,Americas
52,University of Colorado,Dell,"PowerEdge C6100 Cluster, Xeon X5660 2.8 Ghz, Infiniband",United States,2010,15648,152200,175258,1757600,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2800,6,Dell PowerEdge Cluster,PowerEdge C6100 Cluster,Linux,None,Cluster,Academic,Research,Infiniband,Infiniband QDR,North America,Americas
53,Vestas Wind Systems A/S,IBM,"iDataPlex DX360M3, Xeon 2.93, Infiniband",Denmark,2011,14664,151672,171862,0,0,458.25,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM iDataPlex,iDataPlex DX360M3,Linux,None,Cluster,Industry,Energy,Infiniband,Infiniband QDR,Northern Europe,Europe
54,CINECA / SCS - SuperComputing Solution,IBM,"iDataPlex DX360M3, Xeon 2.4, nVidia GPU, Infiniband",Italy,2011,3072,142700,293274,1159000,0,160,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2400,6,IBM iDataPlex,iDataPlex DX360M3,Linux,NVIDIA 2070,Cluster,Research,Not Specified,Infiniband,Infiniband QDR,Southern Europe,Europe
55,CLUMEQ - McGill University,IBM,"iDataPlex DX360M3, Xeon 2.66, Infiniband",Canada,2010,14400,136300,153216,1532160,0,376.75,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,IBM iDataPlex,iDataPlex DX360M3,Linux,None,Cluster,Academic,Not Specified,Infiniband,Infiniband QDR,North America,Americas
56,Vienna Scientific Cluster,Megware,"Megware Saxonid 6100, Opteron 8C 2.2 GHz, Infiniband QDR",Austria,2011,20700,135600,185011,1200000,0,430,AMD x86_64,AMD x86_64 Opteron 8 Core,2200,8,Megware Cluster,Saxonid 6100,Linux,None,Cluster,Academic,Research,Infiniband,Infiniband QDR,Western Europe,Europe
57,New Mexico Computing Applications Center (NMCAC),SGI,"SGI Altix ICE 8200, Xeon quad core 3.0 GHz",United States,2007,14336,133200,172032,1800100,0,861.63,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),3000,4,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,None,MPP,Research,Research,Infiniband,Infiniband,North America,Americas
58,"Computational Research Laboratories, TATA SONS",Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 53xx 3GHz, Infiniband",India,2008,14384,132800,172608,1850000,250000,786,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,None,Cluster,Industry,Not Specified,Infiniband,Infiniband DDR,South-central Asia,Asia
59,Lawrence Livermore National Laboratory,Appro International,"Appro XtremeServer 1143H, Opteron QC 2.2Ghz, Infiniband",United States,2008,18224,131600,162200,1854663,0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2200,4,Appro XtremeServer,Appro XtremeServer 1143H,Redhat Linux,None,Cluster,Research,Research,Infiniband,Infiniband,North America,Americas
60,eni,Hewlett-Packard,"HP ProLiant SL390s G7 Xeon 6C X5650, Infiniband",Italy,2011,15360,131200,163430,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000SL,Cluster Platform SL390s G7,Linux,None,Cluster,Industry,Not Specified,Infiniband,Infiniband QDR,Southern Europe,Europe
61,DOE/NNSA/LANL,IBM,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Infiniband",United States,2009,14400,126500,161856,805759,0,276,Power,PowerXCell 8i,3200,9,IBM BladeCenter,BladeCenter QS22 Cluster,Linux,IBM PowerXCell 8i,Cluster,Research,Not Specified,Infiniband,Infiniband,North America,Americas
62,NOAA/ESRL/GSD,Raytheon/Aspen Systems,"Raytheon/Aspen Cluster, Xeon X5560/X5650 2.8/2.66 Ghz, QDR Infinband",United States,2010,13732,126500,148116,1664080,257000,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,NOW - Intel,Raytheon/Aspen Systems Cluster,Linux,None,Cluster,Research,Weather and Climate Research,Infiniband,Infiniband QDR,North America,Americas
63,University of Southern California,Dell/Sun/IBM,"PowerEdge 1950/SunFire X2200/IBM dx340/dx360/HP SL160, Xeon/Opteron 2.3-2.67GHz, Myrinet 10G",United States,2011,17280,126400,175990,1718800,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2333,4,Dell/Sun/IBM Cluster,PowerEdge 1950/SunFire X2200/iDataPlex Cluster,CentOS,None,Cluster,Academic,Not Specified,Myrinet,Myrinet 10G,North America,Americas
64,National Computational Infrastructure National Facility (NCI-NF),Oracle,"Sun Blade x6048, Xeon X5570 2.93 Ghz, Infiniband QDR",Australia,2010,11936,126400,139890,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Sun Blade System,Sun Blade 6048,CentOS,None,Cluster,Academic,Research,Infiniband,Infiniband,Australia and New Zealand,Oceania
65,University of Chicago,Cray Inc.,Cray XE6 12-core 2.1 GHz,United States,2010,17856,125800,149990,0,0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,Cray XE,Cray XE6,Linux,None,MPP,Academic,Research,Custom,Custom,North America,Americas
66,National Institute for Computational Sciences/University of Tennessee,Cray Inc.,Cray XT4 QuadCore 2.3 GHz,United States,2008,17956,125128,165195,1367871,0,888.82,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT4 QuadCore,CNL,None,MPP,Academic,Research,Proprietary,XT4 Internal Interconnect,North America,Americas
67,Atomic Weapons Establishment,Bull SA,"Bullx B500 Cluster, Xeon X56xx 2.8Ghz, QDR Infiniband",United Kingdom,2010,12936,124600,145152,2304960,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2800,6,Bull Bullx,Bullx B500 Cluster,Linux,None,Cluster,Classified,Defense,Infiniband,Infiniband QDR,Northern Europe,Europe
68,Japan Agency for Marine -Earth Science and Technology,NEC,SX-9/E/1280M160,Japan,2009,1280,122400,131072,1556480,0,0,NEC,NEC,3200,1,NEC Vector,SX-9/E,Super-UX,None,MPP,Research,Research,Fat Tree,Fat Tree Network,Eastern Asia,Asia
69,IDRIS,IBM,Blue Gene/P Solution,France,2008,40960,119310,139264,0,0,315,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,None,MPP,Academic,Not Specified,Proprietary,Proprietary,Western Europe,Europe
70,ECMWF,IBM,"Power 575, p6 4.7 GHz, Infiniband",United Kingdom,2008,8320,115900,156416,0,0,1329.7,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,None,MPP,Research,Not Specified,Infiniband,Infiniband,Northern Europe,Europe
71,ECMWF,IBM,"Power 575, p6 4.7 GHz, Infiniband",United Kingdom,2009,8320,115900,156416,0,0,1329.7,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,None,MPP,Research,Weather and Climate Research,Infiniband,Infiniband,Northern Europe,Europe
72,DKRZ - Deutsches Klimarechenzentrum,IBM,"Power 575, p6 4.7 GHz, Infiniband",Germany,2008,8064,115900,151603,1128959,0,1288.69,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,None,MPP,Research,Weather and Climate Research,Infiniband,Infiniband,Western Europe,Europe
73,JAXA,Fujitsu,"Fujitsu FX1, Quadcore  SPARC64 VII  2.52 GHz, Infiniband DDR",Japan,2009,12032,110600,121282,3308800,0,1020.5,Sparc,SPARC64 VII,2500,4,Fujitsu Cluster,Fujitsu FX1,Open Solaris,None,Cluster,Research,Aerospace,Infiniband,Infiniband DDR,Eastern Asia,Asia
74,US Army Research Laboratory (ARL),SGI,"SGI Altix ICE 8200 Enhanced LX, Xeon Nehalem quad core 2.8 GHz",United States,2009,10752,109300,120422,1908480,0,475,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,SGI Altix,SGI Altix ICE 8200EX,SLES10 + SGI ProPack 5,None,MPP,Research,Defense,Infiniband,Infiniband,North America,Americas
75,Commissariat a l'Energie Atomique (CEA)/CCRT,Bull SA,BULL Novascale R422-E2,France,2010,11520,108500,129998,1714176,0,477,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Bull Cluster,NovaScale R422-E2,Linux,None,Cluster,Research,Not Specified,Infiniband,Infiniband DDR,Western Europe,Europe
76,Joint Supercomputer Center,Hewlett-Packard,"Cluster Platform 3000 BL460c/BL2x220, Xeon 54xx 3 Ghz, Infiniband",Russia,2009,11680,107448,140160,0,0,0,Intel EM64T,Intel EM64T Xeon X54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c/BL 2x220,Linux,None,Cluster,Academic,Research,Infiniband,Infinband DDR 4x,Eastern Europe,Europe
77,HLRN at Universitaet Hannover / RRZN,SGI,"SGI Altix ICE 8200EX, Xeon QC E5472 3.0 GHz/X5570 2.93 GHz",Germany,2009,10240,107100,120730,1535480,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,SGI Altix,SGI Altix ICE 8200EX,SLES10 + SGI ProPack 5,None,MPP,Academic,Research,Infiniband,Infiniband,Western Europe,Europe
78,HLRN at ZIB/Konrad Zuse-Zentrum fuer Informationstechnik,SGI,"SGI Altix ICE 8200EX, Xeon QC E5472 3.0 GHz/X5570 2.93 GHz",Germany,2009,10240,107100,120730,1535480,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,SGI Altix,SGI Altix ICE 8200EX,SLES10 + SGI ProPack 5,None,MPP,Academic,Research,Infiniband,Infiniband,Western Europe,Europe
