Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,Processor Cores,System Family,System Model,Operating System,Accelerator,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
341,Telecommunication Company,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5530 2.4 GHz, GigE",China,2010,9520,47885.8,91392,0,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2400,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
342,Web Company (C),Hewlett-Packard,"Cluster Platform 3000 BL460c G7, Xeon X5650 2.66 Ghz, GigE",China,2011,8556,47874.7,91035.8,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G7,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
343,Ecole Polytechnique Federale de Lausanne,IBM,Blue Gene/P Solution,Switzerland,2009,16384,47725,55706,933887,0,126,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,None,MPP,Academic,Research,Proprietary,Proprietary,Western Europe,Europe
344,IBM - Rochester,IBM,Blue Gene/P Solution,United States,2007,16384,47725,55706,933887,0,126,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,None,MPP,Vendor,Benchmarking,Proprietary,Proprietary,North America,Americas
345,IBM Thomas J. Watson Research Center,IBM,Blue Gene/P Solution,United States,2009,16384,47725,55706,933887,0,126,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,None,MPP,Research,Not Specified,Proprietary,Proprietary,North America,Americas
346,Max-Planck-Gesellschaft MPI/IPP,IBM,Blue Gene/P Solution,Germany,2008,16384,47725,55706,933887,0,126,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,None,MPP,Research,Not Specified,Proprietary,Proprietary,Western Europe,Europe
347,Banking (M),IBM,"iDataPlex, Xeon E55xx QC 2.26 GHz, Infiniband",United States,2010,5792,47672.4,52521.9,0,0,190,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,IBM iDataPlex,xSeries iDataPlex,Linux,None,Cluster,Industry,Finance,Infiniband,Infiniband,North America,Americas
348,Financial Institution (U2),Hewlett-Packard,"Cluster Platform 3000 BL460c G7, Xeon X5675 3.06 Ghz, GigE",United States,2011,7458,47355.9,89675,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),3060,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G7,Linux,None,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
349,Financial Institution (U2),Hewlett-Packard,"Cluster Platform 3000 BL460c G7, Xeon X5675 3.06 Ghz, GigE",United States,2011,7458,47355.9,89675,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),3060,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G7,Linux,None,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
350,"University of British Columbia - Cancer Center, Genome Science Center",IBM,"iDataPlex, Xeon X56xx 6C 2.66 GHz, Infiniband",Canada,2010,5040,47325.7,53625.6,0,0,118.13,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,IBM iDataPlex,xSeries iDataPlex,Linux,None,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas
351,Web Company (C),Hewlett-Packard,"Cluster Platform 4000 BL685c G7, Opteron 12C 2.1 Ghz, GigE",China,2011,10800,47301.4,90720,0,0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,HP Cluster Platform 4000BL,Cluster Platform 4000 BL685c G7,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
352,Asda Stores,IBM,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, GigE",United Kingdom,2011,8352,47247.2,97885.4,0,0,234.35,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM BladeCenter,"BladeCenter HS22 Cluster, WM Xeon 6-core",Linux,None,Cluster,Industry,Retail,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
353,Moscow State University - Research Computing Center,SKIF/T-Platforms,"T-Platforms T60, Intel Quadcore 3Ghz, Infiniband DDR",Russia,2008,5000,47170,60000,750000,0,265,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,T-Platforms Cluster,T-Platforms T60 Cluster,CentOS,None,Cluster,Academic,Research,Infiniband,Infiniband DDR,Eastern Europe,Europe
354,National Supercomputer Centre (NSC),Hewlett-Packard,"Cluster Platform 3000 DL140 Cluster, Xeon 53xx 2.33GHz Infiniband",Sweden,2008,6440,47030,60020.8,1158000,200000,0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,4,HP Cluster Platform 3000,Cluster Platform 3000 DL140,Linux,None,Cluster,Academic,Research,Infiniband,Infiniband,Northern Europe,Europe
355,TerraPower/Intellectual Ventures,Hewlett-Packard,"Cluster Platform 3000 SL2x170z, Xeon X5580 3.33 GHz, Infiniband",United States,2011,4068,46930,54185,1301760,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),3330,6,HP Cluster Platform 3000SL,Cluster Platform SL2x170z,Windows HPC 2008,None,Cluster,Industry,Research,Infiniband,Infiniband QDR,North America,Americas
356,University of Waterloo,Hewlett-Packard,"Cluster Platform SL165z G7, Opteron 6174 2.2 Ghz, Infiniband",Canada,2011,7680,46920,67584,0,0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2200,12,HP Cluster Platform 3000SL,Cluster Platform SL165z G7,Linux,None,Cluster,Research,Service,Infiniband,Infiniband QDR,North America,Americas
357,Network Company,IBM,"BladeCenter HS22 Cluster, Xeon QC E5xx 2.53 GHz, GigEthernet",China,2011,8288,46885.2,83874.6,0,0,262.03,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
358,Network Company,IBM,"BladeCenter HS22 Cluster, Xeon QC E5xx 2.53 GHz, GigEthernet",China,2011,8288,46885.2,83874.6,0,0,262.03,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
359,Network Company,IBM,"BladeCenter HS22 Cluster, Xeon QC E5xx 2.53 GHz, GigEthernet",China,2011,8288,46885.2,83874.6,0,0,262.03,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
360,Semiconductor Company (C),IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.93 GHz, GigEthernet",United States,2010,8280,46839.9,97041.6,0,0,280.86,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
361,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",Denmark,2010,7554,46735.8,88532.9,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
362,IT Services Provider (D),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",United States,2011,7554,46735.8,88532.9,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
363,Logistic Services (C),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5540 2.53 GHz, GigE",United States,2010,8784,46707.8,88894.1,0,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
364,Nasza Klasa,Hewlett-Packard,"Cluster Platform 3000 BL2x220, L54xx 2.5 Ghz, GigE",Poland,2010,8464,46552,84640,0,0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Europe,Europe
365,Financial Services (P),IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",United Kingdom,2010,8096,46415.3,81931.5,0,0,255.96,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM xSeries,xSeries x3650M2 Cluster Xeon QC,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
