Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Measured Size,Processor Family,Processor,Proc. Frequency,Processor Cores,System Family,System Model,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
491,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",United States,2009,5272,24670,63264,0,0,209,112,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
492,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",United States,2009,5272,24670,63264,0,0,209,112,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
493,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",United States,2009,5272,24670,63264,0,0,209,112,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
494,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",United States,2009,5272,24670,63264,0,0,209,112,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
495,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",United States,2009,5272,24670,63264,0,0,209,112,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
496,Digital Media (K),IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.66 GHz, GigEthernet",United Kingdom,2009,5744,24670,61277,0,0,267,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Digital Media,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
497,Semiconductor Company (D),IBM,"xSeries x3450 Cluster Xeon quad core, 3.0 GHz, GigEthernet",Israel,2008,5096,24670,61152,0,0,204.8,112,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,IBM Cluster,xSeries x3450 Cluster Xeon quad core,Linux,Cluster,Industry,Semiconductor,Gigabit Ethernet,Gigabit Ethernet,Western Asia,Asia
498,Banking (M),IBM,"xSeries x3650 Cluster Xeon QC HT 2.66 GHz, GigEthernet",United States,2009,5152,24670,54940.9,0,0,299,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,4,IBM Cluster,xSeries x3650 Cluster Xeon quad core,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
499,Banking (M),IBM,"xSeries x3650 Cluster Xeon QC HT 2.66 GHz, GigEthernet",United States,2009,5152,24670,54940.9,0,0,299,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,4,IBM Cluster,xSeries x3650 Cluster Xeon quad core,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
500,Retail,IBM,"BladeCenter HS21 Cluster, Xeon QC 2.66 GHz, GigEthernet",United States,2008,5136,24670,54790.8,0,0,198.47,112,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2667,4,IBM Cluster,"BladeCenter HS21 Cluster, CT Xeon quad core",Linux,Cluster,Industry,Retail,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
,,,,,,,,,,,,,,,,,,,,,,,,,,
