Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Power Effeciency [GFlops/Watts],Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent,Site ID,System ID
265,292,50,292,Zenith,"Dell C6420/C6320p, Xeon Gold 6148 20C 2.4GHz/Xeon Phi 7290/7230/7210, Intel Omni-Path",Dell EMC HPC Innovation lab,Dell EMC,United States,2016,Vendor,24240,,1007.92,1861.632,2637936,,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,RHEL 7.3,Linux,None,20,Xeon Gold,Dell C6420,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,North America,Americas,50733,179168
266,,51,266,Internet Company T X1,"Lenovo RD450, Xeon E5-2680v4 14C 2.4GHz, 10G Ethernet",Service Provider T,Lenovo,China,2018,Industry,53200,,1005.51,2042.88,6974208,,,,,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,Linux,Linux,None,14,Intel Xeon E5 (Broadwell),Lenovo RD450,Lenovo Cluster,10G,10G Ethernet,Eastern Asia,Asia,50329,179360
267,,51,267,Internet Company T X2,"Lenovo RD450, Xeon E5-2680v4 14C 2.4GHz, 10G Ethernet",Service Provider T,Lenovo,China,2018,Industry,53200,,1005.51,2042.88,6974208,,,,,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,Linux,Linux,None,14,Intel Xeon E5 (Broadwell),Lenovo RD450,Lenovo Cluster,10G,10G Ethernet,Eastern Asia,Asia,50329,179359
268,179,50,179,,"Inspur SA5212H5, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G Ethernet",Internet Service A,Inspur,China,2017,Industry,26208,20384,1004,1929.2,2237000,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Inspur SA5212H5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50596,179206
269,178,50,178,,"Inspur SA5212H5, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G Ethernet",Internet Service A,Inspur,China,2017,Industry,26208,20384,1004,1929.2,2237000,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Inspur SA5212H5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50596,179207
270,,51,270,S1,"ThinkSystem RD452, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 10G Ethernet",Internet Company A,Lenovo,China,2017,Industry,23904,18592,1001.68,1772.88,2061504,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,Linux,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),ThinkSystem RD452,Lenovo ThinkSystem,10G,10G Ethernet,Eastern Asia,Asia,50580,179370
271,180,47,94,Shoubu,"ZettaScaler-1.6, Xeon E5-2618Lv3  8C 2.3GHz, Infiniband FDR, PEZY-SCnp","Advanced Center for Computing and Communication, RIKEN",PEZY Computing / Exascaler Inc.,Japan,2015,Research,1313280,1310720,1001.01,1533.46048,2293760,,,149.99,Submitted,6.674,Cluster,Xeon E5-2618Lv3  8C 2.3GHz,Intel Haswell,2300,Linux,Linux,PEZY-SCnp,8,Intel Xeon E5 (Haswell),ZettaScaler-1.6,Pezy/Exascaler Cluster,Infiniband,Infiniband FDR,Eastern Asia,Asia,50577,178809
272,181,44,50,Discover SCU10,"Rackable Cluster, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR",NASA/Goddard Space Flight Center,HPE,United States,2014,Research,31248,,1000.52,1299.9168,4095360,,,2008.8,Derived,0.498,Cluster,Xeon E5-2697v3 14C 2.6GHz,Intel Haswell,2600,SUSE Linux Enterprise Server 11,Linux,None,14,Intel Xeon E5 (Haswell),Rackable Cluster,Rackable Cluster,Infiniband,Infiniband FDR,North America,Americas,49817,178458
273,182,42,121,Konrad,"Cray XC40, Intel Xeon E5-2695v2/E5-2680v3 12C 2.4/2.5GHz, Aries interconnect ",HLRN at ZIB/Konrad Zuse-Zentrum Berlin,Cray Inc.,Germany,2014,Academic,44928,,991.525,1425.715,3110399,,,877.5,Derived,1.13,MPP,Intel Xeon E5-2695v2 12C 2.4GHz,Intel IvyBridge,2400,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (IvyBridge),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Western Europe,Europe,49361,178323
274,183,50,183,PVideo-B,"Sugon I620, Xeon E5-2620v4 8C 2.1GHz, 10G Ethernet",Internet Company,Sugon,China,2017,Industry,60000,,990.7,2016,5076000,,,600,Submitted,1.651,Cluster,Xeon E5-2620v4 8C 2.1GHz,Intel Broadwell,2100,CentOS,Linux,None,8,Intel Xeon E5 (Broadwell),Sugon I620,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia,50707,179193
