Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,System Family,System Model,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
272,"NanJing Institute of Geophysical Prospecting, PEPRIS, SINOPEC",IBM,"BladeCenter HS21 Cluster, Xeon quad core 2.66 GHz, Infiniband",China,2008,2048,17133.6,21848.1,0,0,95.54,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2667,IBM Cluster,"BladeCenter HS21 Cluster, CT Xeon quad core",Linux,Cluster,Research,Geophysics,Infiniband,Infiniband,Eastern Asia,Asia
273,University of Southern California,Sun Microsystems,"Opteron, Xeon Cluster, Myrinet",United States,2007,6024,17110,23680,0,0,0,AMD x86_64,AMD x86_64 Opteron Dual Core,2000,NOW - mixed processors,"Opteron, Xeon Cluster",Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet,North America,Americas
274,Ohio Supercomputer Center,IBM,"xSeries x3455 Cluster Opteron, 2.6 GHz, Infiniband",United States,2007,4144,17100,21550,670000,0,404.04,AMD x86_64,AMD x86_64 Opteron Dual Core,2600,IBM Cluster,xSeries x3455 Cluster Opteron,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas
275,Financial Services (O),IBM,"BladeCenter HS21 Cluster, Xeon dual core 2.66 GHz, GigEthernet",United Kingdom,2008,3528,17088.8,37636.7,0,0,329.16,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2667,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
276,Pittsburgh Supercomputing Center,Cray Inc.,"Cray XT3, 2.6 GHz dual Core",United States,2006,4136,17000,21507.2,0,0,0,AMD x86_64,AMD x86_64 Opteron Dual Core,2600,Cray XT,Cray XT3,UNICOS/SUSE Linux,MPP,Academic,Not Specified,Cray Interconnect,XT3 Internal Interconnect,North America,Americas
277,KISTI Supercomputing Center,Sun Microsystems,"Sun Blade 6000, Opteron QC 2.0 GHz, Infiniband 4x","Korea, South",2008,3072,16990,24576,854784,0,129.6,AMD x86_64,AMD x86_64 Opteron Quad Core,2000,Sun Blade System,Sun Blade 6000,Linux,Cluster,Research,Not Specified,Infiniband,Infinband DDR 4x,Eastern Asia,Asia
278,Energy Company (A),IBM,"BladeCenter LS21, Opteron Dual Core 2.6 GHz, Infiniband",Italy,2008,4096,16906,21299.2,0,0,290.37,AMD x86_64,AMD x86_64 Opteron Dual Core,2600,IBM Cluster,BladeCenter LS21 CLuster,Linux,Cluster,Industry,Energy,Infiniband,Infiniband,Southern Europe,Europe
279,"Center for High-End Computer Systems, Virginia Tech",Self-made,"Apple Mac Pro Cluster, E54xx 2.8 Ghz, Infiniband",United States,2008,2048,16870,22937,480000,76000,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2800,NOW - Intel,Apple Mac Pro Cluster,Linux,Cluster,Academic,Research,Infiniband,Infiniband,North America,Americas
280,Data Processing,IBM,"xSeries x3550 Cluster Xeon QC, 2.333 GHz, GigEthernet",United States,2008,3688,16854.6,34416.4,0,0,203.32,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,IBM Cluster,xSeries x3550 Cluster Xeon quad core CT,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
281,Telecommunication Company,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon E54xx 2.33 GHz, GigEthernet",China,2008,3360,16793.7,31315.2,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2333,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Telecomm,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
282,Telecommunication Company,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon E54xx 2 GHz, GigEthernet",China,2008,3920,16782.6,31360,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Telecomm,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
283,Computacenter,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 51xx 2.66GHz, GigEthernet",United Kingdom,2008,2928,16778.2,31235.9,0,0,0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2667,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
284,Financial Institution,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 2.33 GHz, GigEthernet",Sweden,2008,3352,16754.2,31240.6,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2333,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
285,Colorado School of Mines/Golden Energy Computing Organization,Dell,"PowerEdge 1950, Xeon 53xx 2.66 GHz, Infiniband",United States,2008,2030,16700,21680,675000,0,128,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2667,Dell PowerEdge Cluster,PowerEdge 1950,Linux,Cluster,Academic,Energy,Infiniband,Infiniband DDR,North America,Americas
286,Weather Forcasting (W),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",France,2008,2540,16691.3,30480,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Research,Weather and Climate Research,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
