green500_rank,Rmax,total_power,Mflops/Watt,How?,Year,Computer,Total Cores,Name,Manufacturer,top500_rank,Site,Country,RPeak,Segment,Accelerator/Co-Processor Cores,Nmax,Architecture,Processor,Processor_Family,Proc_Frequency,OS,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
35,17590000,8209,2142.77013,Submission,2012,"Cray XK7 , Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x",560640,Titan,Cray Inc.,2,DOE/SC/Oak Ridge National Laboratory,United States,27112550,Research,261632,0,MPP,Opteron 6274 16C 2.200GHz,AMD x86_64,2200,Cray Linux Environment ,Linux,NVIDIA K20x,16,"Opteron 6200 Series ""Interlagos""",Cray XK7,Cray XK,Cray Interconnect,Cray Gemini interconnect,North America,Americas
36,273700,129,2121.705426,Submission,2011,"Cray XK7 , Opteron 6272 16C 2.100GHz, Cray Gemini interconnect, NVIDIA Tesla K20 Kepler",8160,Todi,Cray Inc.,139,Swiss National Supercomputing Centre (CSCS),Switzerland,392876.8,Research,3808,756480,MPP,Opteron 6272 16C 2.100GHz,AMD x86_64,2100,Cray Linux Environment ,Linux,NVIDIA K20x,16,"Opteron 6200 Series ""Interlagos""",Cray XK7,Cray XK,Cray Interconnect,Cray Gemini interconnect,Western Europe,Europe
37,758873,387.2,1959.899277,Top500,2011,"Intel Cluster, Intel Xeon E5-2697v2 12C 2.700GHz, Infiniband FDR, Intel Xeon Phi 7110",51392,Endeavor,Intel,43,Intel,United States,933481.47,Industry,42944,1564544,Cluster,Intel Xeon E5-2697v2 12C 2.700GHz,Intel IvyBridge,2700,Linux,Linux,Intel Xeon Phi 7110,12,Intel Xeon E5 (IvyBridge),Intel Cluster,Intel Cluster,Infiniband,Infiniband FDR,North America,Americas
38,417256,215.6,1935.324675,Submission,2012,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband QDR, Intel Xeon Phi 5110P",35568,Discover,IBM,76,NASA Center for Climate Simulation,United States,628842.24,Government,28080,960000,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,Intel Xeon Phi 5110P,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband QDR,North America,Americas
39,976763,510,1915.221569,Top500,2013,"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P",77520,Conte,Hewlett-Packard,33,Purdue University,United States,1341096,Academic,68400,1793088,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,Intel Xeon Phi 5110P,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL250s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,North America,Americas
40,33862700,17808,1901.54425,Top500,2013,"TH-IVB-FEP Cluster, Intel Xeon E5-2692 12C 2.200GHz, TH Express-2, Intel Xeon Phi 31S1P",3120000,Tianhe-2 (MilkyWay-2),NUDT,1,National Super Computer Center in Guangzhou,China,54902400,Research,2736000,9960000,Cluster,Intel Xeon E5-2692v2 12C 2.200GHz,Intel IvyBridge,2200,Kylin Linux,Linux,Intel Xeon Phi 31S1P,12,Intel Xeon E5 (IvyBridge),TH-IVB-FEP Cluster,TH-IVB Cluster,Custom Interconnect,TH Express-2,Eastern Asia,Asia
41,131499,73,1801.356164,Submission,2013,"Supercmicro F627G3-F Cluster, Intel Xeon E5-2697v2 12C 2.700GHz, Intel Truscale, Intel Xeon Phi 7120P",9936,Cherry Creek,Supermicro,400,Intel Data Center Demos c/o ViaWest DataCenter,United States,198835.2,Industry,8784,810000,Cluster,Intel Xeon E5-2697v2 12C 2.700GHz,Intel IvyBridge,2700,Redhat Enterprise Linux 6,Linux,Intel Xeon Phi 7120P,12,Intel Xeon E5 (IvyBridge),Supercmicro F627G3-F Cluster,Supermicro Cluster,Infiniband,Intel Truscale,North America,Americas
42,2345780,1307.6,1793.958397,Submission,2013,"Atipa Visione IF442 Blade Server, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P",194616,cascade,Atipa Technology,13,DOE/SC/Pacific Northwest National Laboratory,United States,3388032,Research,171720,4096000,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,Intel Xeon Phi 5110P,8,Intel Xeon E5 (SandyBridge),Atipa Visione IF442 Blade Server,Atipa Cluster,Infiniband,Infiniband FDR,North America,Americas
43,188967,106,1782.707547,Derived,2012,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",16384,CADMOS BG/Q,IBM,218,Ecole Polytechnique Federale de Lausanne,Switzerland,209715,Academic,0,1409023,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Western Europe,Europe
44,388442,220.68,1760.204821,Submission,2013,"R2208GZ Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P",30056,PARAM Yuva - II,Netweb Technologies,83,Center for Development of Advanced Computing (C-DAC),India,520357.76,Research,26520,1225088,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,CentOS,Linux,Intel Xeon Phi 5110P,8,Intel Xeon E5 (SandyBridge),R2208GZ Cluster,Netweb Cluster,Infiniband,Infiniband FDR,South-central Asia,Asia
