"","date","ExaRank","exascalar","top500rank","green500rank.g","rmax.g","power.g","mflopswatt","how.g","notes.g","year.g","name.g","totalcores.g","computer.g","site.g","manufacturer.g","country.g","segment.g","acceleratorcoprocessorcores.g","rpeak.g","nmax.g","nhalf.g","architecture.g","processor.g","processortechnology.g","processorspeedmhz.g","oatingsystem.g","osfamily.g","acceleratorcoprocessor.g","coressocket.g","processorgeneration.g","systemmodel.g","systemfamily.g","interconnectfamily.g","interconnect.g","region.g","continent.g","previoustop500rank","firstappearance.t","firsttop500rank","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcoprocessorcores.t","rmax.t","rpeak.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","acceleratorcoprocessor.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t","rmax"
"421",2014-11-01,403,-4.341,421,353,165138.6,752.4,219.4824561,"Derived","",2014,"",13376,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2660 8C 2.2GHz, 10G Ethernet","Banking (M)","Hewlett-Packard","United States","Industry",0,"235,417.6",0,0,"Cluster","Xeon E5-2660 8C 2.2GHz","Intel SandyBridge",2200,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",342,43,342,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2660 8C 2.2GHz, 10G Ethernet","Banking (M)","Hewlett-Packard","United States",2014,"Industry",13376,0,"165,138.6",235417.6,0,0,NA,NA,"Cluster","Xeon E5-2660 8C 2.2GHz","Intel SandyBridge",2200,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",165138.6
"498",2014-11-01,404,-4.342,498,330,153813.69,653.4,235.4050964,"Submission","",2014,"",27296,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Gigabit Ethernet","Telecommunication Company","IBM","China","Industry",0,"567,756.8",0,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia",419,43,419,"","xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Gigabit Ethernet","Telecommunication Company","IBM","China",2014,"Industry",27296,0,"153,813.69",567756.8,0,0,653.4,235.41,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia",153813.69
"359",2014-11-01,405,-4.344,359,377,182484,927,196.8543689,"Derived","",2013,"",16480,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2650 8C 2.000GHz, 10G Ethernet","Government","Hewlett-Packard","United States","Government",0,"263680",0,0,"Cluster","Xeon E5-2650 8C 2GHz","Intel SandyBridge",2000,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",292,41,186,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2650 8C 2.000GHz, 10G Ethernet","Government","Hewlett-Packard","United States",2013,"Government",16480,0,"182484",263680,0,0,NA,NA,"Cluster","Xeon E5-2650 8C 2GHz","Intel SandyBridge",2000,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",182484
"444",2014-11-01,406,-4.346,444,352,162344,738.9,219.7103803,"Derived","",2013,"",13136,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2660 8C 2.200GHz, 10G Ethernet","Banking (M)","Hewlett-Packard","United States","Industry",0,"231194",0,0,"Cluster","Xeon E5-2660 8C 2.2GHz","Intel SandyBridge",2200,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",365,41,211,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2660 8C 2.200GHz, 10G Ethernet","Banking (M)","Hewlett-Packard","United States",2013,"Industry",13136,0,"162344",231194,0,0,NA,NA,"Cluster","Xeon E5-2660 8C 2.2GHz","Intel SandyBridge",2200,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",162344
"309",2014-11-01,407,-4.351,309,416,196700,1101.6,178.5584604,"Derived","",2014,"",14688,"Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2695v2 12C 2.4GHz, 10G Ethernet","IT Services Provider ","Hewlett-Packard","United States","Industry",0,"282,009.6",0,0,"Cluster","Intel Xeon E5-2695v2 12C 2.4GHz","Intel IvyBridge",2400,"Linux","Linux","None",12,"Intel Xeon E5 (IvyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",468,43,468,"","Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2695v2 12C 2.4GHz, 10G Ethernet","IT Services Provider ","Hewlett-Packard","United States",2014,"Industry",14688,0,"196700",282009.6,0,0,NA,NA,"Cluster","Intel Xeon E5-2695v2 12C 2.4GHz","Intel IvyBridge",2400,"Linux","Linux","None",12,"Intel Xeon E5 (IvyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",196700
"400",2014-11-01,408,-4.351,400,370,168600,808.96,208.4157437,"Submission","",2014,"",33792,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Gigabit Ethernet","Electronics","IBM","China","Industry",0,"702,873.6",0,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia",353,43,353,"","xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Gigabit Ethernet","Electronics","IBM","China",2014,"Industry",33792,0,"168600",702873.6,0,0,808.96,208.42,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia",168600
"357",2014-11-01,409,-4.357,357,400,183379,975,188.0810256,"Top500","",2012,"Darwin",9728,"Dell PowerEdge C6220, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Cambridge University","Dell","United Kingdom","Academic",0,"202342",1975952,300000,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Dell PowerEdge C6220","Dell PowerEdge Cluster","Infiniband","Infiniband FDR","Northern Europe","Europe",290,39,93,"Darwin","Dell PowerEdge C6220, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Cambridge University","Dell","United Kingdom",2012,"Academic",9728,0,"183379",202342,1975952,300000,975,188.08,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Dell PowerEdge C6220","Dell PowerEdge Cluster","Infiniband","Infiniband FDR","Northern Europe","Europe",183379
"393",2014-11-01,410,-4.359,393,376,169029,833.4,202.8185745,"Derived","",2014,"",11112,"Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2697v2 12C 2.7GHz, 10G Ethernet","Logistic Services (E)","Hewlett-Packard","United States","Industry",0,"240,019.2",0,0,"Cluster","Intel Xeon E5-2697v2 12C 2.7GHz","Intel IvyBridge",2700,"Linux","Linux","None",12,"Intel Xeon E5 (IvyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",NA,44,393,"","Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2697v2 12C 2.7GHz, 10G Ethernet","Logistic Services (E)","Hewlett-Packard","United States",2014,"Industry",11112,0,"169029",240019.2,0,0,NA,NA,"Cluster","Intel Xeon E5-2697v2 12C 2.7GHz","Intel IvyBridge",2700,"Linux","Linux","None",12,"Intel Xeon E5 (IvyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",169029
"433",2014-11-01,411,-4.359,433,361,163190.37,777.6,209.864159,"Submission","",2014,"",28960,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Gigabit Ethernet","Engineering Company","IBM","China","Industry",0,"648704",0,0,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia",360,43,360,"","xSeries x3650M4 Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Gigabit Ethernet","Engineering Company","IBM","China",2014,"Industry",28960,0,"163,190.37",648704,0,0,777.6,209.86,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia",163190.37
"434",2014-11-01,412,-4.359,434,362,163190.37,777.6,209.864159,"Submission","",2014,"",28960,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Gigabit Ethernet","Engineering Company","IBM","China","Industry",0,"648704",0,0,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia",361,43,361,"","xSeries x3650M4 Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Gigabit Ethernet","Engineering Company","IBM","China",2014,"Industry",28960,0,"163,190.37",648704,0,0,777.6,209.86,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia",163190.37
"435",2014-11-01,413,-4.359,435,363,163190.37,777.6,209.864159,"Submission","",2014,"",28960,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Gigabit Ethernet","Engineering Company","IBM","China","Industry",0,"648704",0,0,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia",354,43,354,"","xSeries x3650M4 Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Gigabit Ethernet","Engineering Company","IBM","China",2014,"Industry",28960,0,"163,190.37",648704,0,0,777.6,209.86,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia",163190.37
"436",2014-11-01,414,-4.359,436,364,163190.37,777.6,209.864159,"Submission","",2014,"",28960,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Gigabit Ethernet","Engineering Company","IBM","China","Industry",0,"648704",0,0,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia",355,43,355,"","xSeries x3650M4 Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Gigabit Ethernet","Engineering Company","IBM","China",2014,"Industry",28960,0,"163,190.37",648704,0,0,777.6,209.86,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia",163190.37
"437",2014-11-01,415,-4.359,437,365,163190.37,777.6,209.864159,"Submission","",2014,"",28960,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Gigabit Ethernet","Engineering Company","IBM","China","Industry",0,"648704",0,0,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia",356,43,356,"","xSeries x3650M4 Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Gigabit Ethernet","Engineering Company","IBM","China",2014,"Industry",28960,0,"163,190.37",648704,0,0,777.6,209.86,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia",163190.37
"438",2014-11-01,416,-4.359,438,366,163190.37,777.6,209.864159,"Submission","",2014,"",28960,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Gigabit Ethernet","Engineering Company","IBM","China","Industry",0,"648704",0,0,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia",357,43,357,"","xSeries x3650M4 Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Gigabit Ethernet","Engineering Company","IBM","China",2014,"Industry",28960,0,"163,190.37",648704,0,0,777.6,209.86,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia",163190.37
"439",2014-11-01,417,-4.359,439,367,163190.37,777.6,209.864159,"Submission","",2014,"",28960,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Gigabit Ethernet","Engineering Company","IBM","China","Industry",0,"648704",0,0,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia",358,43,358,"","xSeries x3650M4 Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Gigabit Ethernet","Engineering Company","IBM","China",2014,"Industry",28960,0,"163,190.37",648704,0,0,777.6,209.86,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia",163190.37
"440",2014-11-01,418,-4.359,440,368,163190.37,777.6,209.864159,"Submission","",2014,"",28960,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Gigabit Ethernet","Engineering Company","IBM","China","Industry",0,"648704",0,0,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia",359,43,359,"","xSeries x3650M4 Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Gigabit Ethernet","Engineering Company","IBM","China",2014,"Industry",28960,0,"163,190.37",648704,0,0,777.6,209.86,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia",163190.37
"299",2014-11-01,419,-4.362,299,423,201940.5,1204.8,167.6132968,"Derived","",2014,"",20080,"Cluster Platform SL210t, Intel Xeon E5-2670v2  10C 2.5GHz, Gigabit Ethernet","IT Service Provider","Hewlett-Packard","Malaysia","Industry",0,"401600",0,0,"Cluster","Intel Xeon E5-2670v2  10C 2.5GHz","Intel IvyBridge",2500,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","Cluster Platform SL210t","HP Cluster Platform 3000SL","Gigabit Ethernet","Gigabit Ethernet","South-eastern Asia","Asia",244,43,244,"","Cluster Platform SL210t, Intel Xeon E5-2670v2  10C 2.5GHz, Gigabit Ethernet","IT Service Provider","Hewlett-Packard","Malaysia",2014,"Industry",20080,0,"201,940.5",401600,0,0,NA,NA,"Cluster","Intel Xeon E5-2670v2  10C 2.5GHz","Intel IvyBridge",2500,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","Cluster Platform SL210t","HP Cluster Platform 3000SL","Gigabit Ethernet","Gigabit Ethernet","South-eastern Asia","Asia",201940.5
"452",2014-11-01,420,-4.363,452,358,161161.76,767.9,209.8733689,"Submission","",2014,"",28600,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Gigabit Ethernet","Telecommunication Company","IBM","China","Industry",0,"640640",0,0,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia",375,43,375,"","xSeries x3650M4 Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Gigabit Ethernet","Telecommunication Company","IBM","China",2014,"Industry",28600,0,"161,161.76",640640,0,0,767.9,209.87,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia",161161.76
"453",2014-11-01,421,-4.363,453,359,161161.76,767.9,209.8733689,"Submission","",2014,"",28600,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Gigabit Ethernet","Telecommunication Company","IBM","China","Industry",0,"640640",0,0,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia",373,43,373,"","xSeries x3650M4 Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Gigabit Ethernet","Telecommunication Company","IBM","China",2014,"Industry",28600,0,"161,161.76",640640,0,0,767.9,209.87,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia",161161.76
"454",2014-11-01,422,-4.363,454,360,161161.76,767.9,209.8733689,"Submission","",2014,"",28600,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Gigabit Ethernet","Telecommunication Company","IBM","China","Industry",0,"640640",0,0,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia",374,43,374,"","xSeries x3650M4 Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Gigabit Ethernet","Telecommunication Company","IBM","China",2014,"Industry",28600,0,"161,161.76",640640,0,0,767.9,209.87,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia",161161.76
"272",2014-11-01,423,-4.367,272,429,219838,1449.12,151.7044827,"Derived","",2011,"RWTH Compute Cluster (RCC)",25448,"Bullx B500 Cluster, Xeon X56xx 3.06Ghz, QDR Infiniband","Universitaet Aachen/RWTH","Bull SA","Germany","Academic",0,"270538",2145920,0,"Cluster","Xeon X5675 6C 3.06GHz","Intel Nehalem",3060,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Bullx B500 Cluster","Bull Bullx","Infiniband","Infiniband QDR","Western Europe","Europe",225,37,32,"RWTH Compute Cluster (RCC)","Bullx B500 Cluster, Xeon X56xx 3.06Ghz, QDR Infiniband","Universitaet Aachen/RWTH","Bull SA","Germany",2011,"Academic",25448,0,"219838",270538,2145920,0,NA,NA,"Cluster","Xeon X5675 6C 3.06GHz","Intel Nehalem",3060,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Bullx B500 Cluster","Bull Bullx","Infiniband","Infiniband QDR","Western Europe","Europe",219838
"372",2014-11-01,424,-4.367,372,393,176622,934.5,189.0016051,"Derived","",2014,"",12460,"Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2670v2  10C 2.5GHz, 10G Ethernet","IT Service Provider","Hewlett-Packard","United States","Industry",0,"249200",0,0,"Cluster","Intel Xeon E5-2670v2  10C 2.5GHz","Intel IvyBridge",2500,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",NA,44,372,"","Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2670v2  10C 2.5GHz, 10G Ethernet","IT Service Provider","Hewlett-Packard","United States",2014,"Industry",12460,0,"176622",249200,0,0,NA,NA,"Cluster","Intel Xeon E5-2670v2  10C 2.5GHz","Intel IvyBridge",2500,"Linux","Linux","None",10,"Intel Xeon E5 (IvyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",176622
"461",2014-11-01,425,-4.369,461,371,160200,774,206.9767442,"Top500","",2009,"Diamond",15360,"SGI ICE 8200 Enh. LX, Xeon X5560 2.8Ghz","ERDC DSRC","SGI","United States","Research",0,"172032",2280600,0,"MPP","Xeon X5560 4C 2.8GHz","Intel Nehalem",2800,"SLES10 + SGI ProPack 5","Linux","None",4,"Xeon 5500-series (Nehalem-EP)","SGI ICE 8200 Enhanced LX","SGI ICE","Infiniband","Infiniband DDR","North America","Americas",382,34,24,"Diamond","SGI ICE 8200 Enh. LX, Xeon X5560 2.8Ghz","ERDC DSRC","SGI","United States",2009,"Research",15360,0,"160200",172032,2280600,0,774,206.98,"MPP","Xeon X5560 4C 2.8GHz","Intel Nehalem",2800,"SLES10 + SGI ProPack 5","Linux","None",4,"Xeon 5500-series (Nehalem-EP)","SGI ICE 8200 Enhanced LX","SGI ICE","Infiniband","Infiniband DDR","North America","Americas",160200
"413",2014-11-01,426,-4.371,413,380,167640,854.4,196.2078652,"Derived","",2014,"",11392,"Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2650v2  8C 2.6GHz, 10G Ethernet","IT Service Provider","Hewlett-Packard","United States","Industry",0,"236,953.6",0,0,"Cluster","Intel Xeon E5-2650v2  8C 2.6GHz","Intel IvyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (IvyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",NA,44,413,"","Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2650v2  8C 2.6GHz, 10G Ethernet","IT Service Provider","Hewlett-Packard","United States",2014,"Industry",11392,0,"167640",236953.6,0,0,NA,NA,"Cluster","Intel Xeon E5-2650v2  8C 2.6GHz","Intel IvyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (IvyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",167640
"237",2014-11-01,427,-4.372,237,442,243900,1814.4,134.4246032,"Derived","",2011,"",24192,"HP POD - Cluster Platform 3000 BL260c G6, X5675 3.06 GHz, Infiniband","Airbus","Hewlett-Packard","France","Industry",0,"296110",0,0,"Cluster","Xeon X5675 6C 3.06GHz","Intel Nehalem",3060,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform 3000 BL260c G6","HP Cluster Platform 3000BL","Infiniband","Infiniband QDR","Western Europe","Europe",196,37,29,"","HP POD - Cluster Platform 3000 BL260c G6, X5675 3.06 GHz, Infiniband","Airbus","Hewlett-Packard","France",2011,"Industry",24192,0,"243900",296110,0,0,NA,NA,"Cluster","Xeon X5675 6C 3.06GHz","Intel Nehalem",3060,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform 3000 BL260c G6","HP Cluster Platform 3000BL","Infiniband","Infiniband QDR","Western Europe","Europe",243900
"382",2014-11-01,428,-4.372,382,399,173960,922.05,188.6665582,"Derived","",2013,"",16392,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet","IT Services Provider (D)","Hewlett-Packard","United States","Industry",0,"340954",0,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas",315,41,198,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet","IT Services Provider (D)","Hewlett-Packard","United States",2013,"Industry",16392,0,"173960",340954,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas",173960
