"","date","ExaRank","exascalar","green500rank","top500rank","rmax","power","mflopswatt","computer"
"133",2014-11-01,92,-3.463,75,133,375700,222.7,1687.022901,"RSC Tornado, Xeon E5-2690 8C 2.900GHz, Infiniband FDR, Intel Xeon Phi SE10X"
"35",2014-11-01,93,-3.466,231,35,1271000,2580,492.6356589,"Dawning TC3600 Blade System, Xeon X5650 6C 2.66GHz, Infiniband QDR, NVIDIA 2050"
"52",2014-11-01,94,-3.481,216,52,978600,1605.12,609.6740431,"Fujitsu PRIMERGY CX250 S1, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"65",2014-11-01,95,-3.485,181,65,795900,1074,741.0614525,"Sunway BlueLight MPP, ShenWei processor SW1600 975.00 MHz, Infiniband QDR"
"55",2014-11-01,96,-3.488,217,55,957600,1571.136,609.4952951,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect "
"203",2014-11-01,97,-3.491,54,203,273700,129.4,2115.146832,"Cray XK7 , Opteron 6272 16C 2.100GHz, Cray Gemini interconnect, NVIDIA Tesla K20 Kepler"
"105",2014-11-01,98,-3.499,89,105,469097,391,1199.736573,"Bullx DLC B710 Blades, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband FDR"
"271",2014-11-01,99,-3.5,19,271,220982,87,2540.022989,"Dell C8220X Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, InfiniBand 4x FDR, Intel Xeon Phi 7120P"
"106",2014-11-01,100,-3.508,90,106,464865,395,1176.873418,"Bullx DLC B710 Blades, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband FDR"
"499",2014-11-01,101,-3.517,8,499,153600,44.4,3459.459459,"Bullx B515 cluster, Intel Xeon E5-2450v2 8C 2.5GHz, InfiniBand 4× FDR, Nvidia K40m"
"177",2014-11-01,102,-3.52,72,177,302608,174,1739.126437,"Atipa Cluster, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR"
"67",2014-11-01,103,-3.526,206,67,771700,1155.07,668.0980373,"NUDT YH MPP, Xeon X5670 6C 2.93 GHz, Proprietary, NVIDIA 2050"
"50",2014-11-01,104,-3.537,227,50,1000520,2008.8,498.0684986,"Rackable Cluster, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR"
"256",2014-11-01,105,-3.553,59,256,230377,112.43,2049.070533,"SGI ICE X, Xeon E5-2690v3 12C 2.6GHz, Infiniband FDR"
"86",2014-11-01,106,-3.554,164,86,582100,720,808.4722222,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"378",2014-11-01,107,-3.562,13,378,174199,66.25,2629.418868,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.800GHz, Infiniband FDR, NVIDIA K20x"
"379",2014-11-01,108,-3.562,14,379,174199,66.25,2629.418868,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.800GHz, Infiniband FDR, NVIDIA K20x"
"380",2014-11-01,109,-3.562,15,380,174199,66.25,2629.418868,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.800GHz, Infiniband FDR, NVIDIA K20x"
"381",2014-11-01,110,-3.562,16,381,174199,66.25,2629.418868,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.800GHz, Infiniband FDR, NVIDIA K20x"
"99",2014-11-01,111,-3.563,121,99,496500,540,919.4444444,"Mole-8.5 Cluster, Xeon X5520 4C 2.27 GHz, Infiniband QDR, NVIDIA 2050"
"117",2014-11-01,112,-3.577,101,117,421600,407.29,1035.134671,"Xtreme-X GreenBlade 8204, Xeon E5-2670 8C 2.600GHz, Infiniband QDR, NVIDIA 2090"
"338",2014-11-01,113,-3.578,24,338,188967,82,2304.47561,"BlueGene/Q, Power BQC 16C 1.6GHz, Custom Interconnect"
"339",2014-11-01,114,-3.579,26,339,188967,82.19,2299.148315,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect"
"340",2014-11-01,115,-3.579,29,340,188967,82.19,2299.148315,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect"
"341",2014-11-01,116,-3.579,27,341,188967,82.19,2299.148315,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom"
"342",2014-11-01,117,-3.579,28,342,188967,82.19,2299.148315,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect"
"343",2014-11-01,118,-3.579,30,343,188967,82.19,2299.148315,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"174",2014-11-01,119,-3.593,84,174,307200,227.5,1350.32967,"Cray XC40, Xeon E5-2695v3 14C 2.3GHz, Aries interconnect "
"110",2014-11-01,120,-3.594,131,110,454053.34,498.53,910.7843861,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR14"
"390",2014-11-01,121,-3.597,21,390,170500,71,2401.408451,"RSC PetaStream, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR, Intel Xeon Phi 5120D"
"111",2014-11-01,122,-3.615,143,111,441815,505.5,874.0158259,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband QDR"
"101",2014-11-01,123,-3.616,171,101,484179,609.41,794.5071282,"Amazon EC2 Cluster, Intel Xeon E5-2680v2  10C 2.800GHz, 10G Ethernet"
"44",2014-11-01,124,-3.618,260,44,1054000,2910,362.1993127,"Cray XE6, Opteron 6172 12C 2.10GHz, Custom"
"60",2014-11-01,125,-3.625,244,60,831400,1850,449.4054054,"Cray XE6, Opteron 6276 16C 2.30 GHz, Cray Gemini interconnect"
"128",2014-11-01,126,-3.629,114,128,390568,413.625,944.2562708,"Cray XC40, Intel Xeon E5-2670v2  10C 2.5GHz/E5-2680v3 12C 2.5Ghz, Aries interconnect "
"129",2014-11-01,127,-3.629,113,129,390568,413.625,944.2562708,"Cray XC40, Intel Xeon E5-2670v2  10C 2.5GHz/E5-2680v3 12C 2.5Ghz, Aries interconnect "
"142",2014-11-01,128,-3.638,103,142,352671,347.27,1015.55274,"iDataPlex DX360M4, Intel Xeon E5-2697v2 12C 2.700GHz, Infiniband FDR14"
"130",2014-11-01,129,-3.642,134,130,389507.6,429.1,907.7371248,"Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband FDR"
"112",2014-11-01,130,-3.647,168,112,434800,544,799.2647059,"IBM Flex System p460, POWER7  8C 3.550GHz, Infiniband QDR"
"113",2014-11-01,131,-3.647,169,113,434800,544,799.2647059,"IBM Flex System p460, POWER7  8C 3.550GHz, Infiniband QDR"
"285",2014-11-01,132,-3.651,76,285,212912,132,1612.969697,"SGI Rackable C1104G-RP5, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi"
"220",2014-11-01,133,-3.655,85,220,255078,192,1328.213542,"Bullx DLC B710 Blades, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR"
"265",2014-11-01,134,-3.656,79,265,225129,150,1500.86,"Bullx B515 cluster, Xeon E5-2450 8C 2.1GHz, Infiniband FDR, Intel Xeon Phi 5110P"
"89",2014-11-01,135,-3.658,218,89,551000,906,608.1677704,"Cluster Platform SL250s Gen8, Xeon E5-2665 8C 2.4GHz/E5-2670v2, Infiniband FDR, Nvidia K20m"
"87",2014-11-01,136,-3.664,221,87,565700,972,581.9958848,"Cray XE6, Opteron 6276 16C 2.30GHz, Cray Gemini interconnect"
"317",2014-11-01,137,-3.664,73,317,193905,114.375,1695.344262,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect "
"149",2014-11-01,138,-3.672,119,149,344317,369.9,930.8380643,"Cluster Platform SL230s Gen8, Intel Xeon E5-2670v2  10C 2.5GHz, Infiniband FDR"
"122",2014-11-01,139,-3.673,175,122,407240,519,784.6628131,"Cluster Platform SL230s Gen8, Xeon E5-2660 8C 2.200GHz, Infiniband FDR"
"153",2014-11-01,140,-3.677,115,153,335736,356.82,940.9113839,"IBM NeXtScale nx360M4, Intel Xeon E5-2670v2  10C 2.5GHz, Infiniband FDR"
"275",2014-11-01,141,-3.678,81,275,217887,150.96,1443.342607,"NEC Green Gem Cluster, Xeon E5-2630v3 8C 2.4GHz, Infiniband QDR"
"40",2014-11-01,142,-3.683,274,40,1110000,3980,278.8944724,"Cray XE6, Opteron 6136 8C 2.40GHz, Custom"
"144",2014-11-01,143,-3.685,139,144,350729,400.68,875.3344315,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"127",2014-11-01,144,-3.7,182,127,396700,537,738.7337058,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"109",2014-11-01,145,-3.701,210,109,456648,715.5,638.2222222,"Apollo 6000 XL230a, Xeon E5-2690v3 12C 2.6GHz, Infiniband FDR"
"58",2014-11-01,146,-3.702,268,58,901900,2800,322.1071429,"T-Platforms T-Blade2/1.1, Xeon X5570/X5670/E5630 2.93/2.53 GHz, Nvidia 2070 GPU, PowerXCell 8i Infiniband QDR"
"82",2014-11-01,147,-3.702,239,82,635111,1386.91,457.9323821,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect"
"83",2014-11-01,148,-3.702,240,83,635111,1386.91,457.9323821,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect"
"163",2014-11-01,149,-3.703,124,163,318443,349.6,910.8781465,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"155",2014-11-01,150,-3.704,149,155,334377,386.56,865.006726,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.60GHz, Infiniband FDR"
"145",2014-11-01,151,-3.707,159,145,347400,421.2,824.7863248,"Xtreme-X , Xeon E5-2670 8C 2.600GHz, Infiniband QDR"
"158",2014-11-01,152,-3.707,140,158,327347,373.97,875.3295719,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"159",2014-11-01,153,-3.707,141,159,327347,373.97,875.3295719,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"190",2014-11-01,154,-3.711,107,190,288200,294,980.2721088,"RSC Tornado, Xeon X5680 6C 3.330GHz, Infiniband QDR, Intel Xeon Phi SE10X"
"300",2014-11-01,155,-3.714,83,300,201374,145.07,1388.116082,"bullx B500/B510 cluster, Intel Xeon E5-2697v2 12C 2.7GHz/Xeon x5675, Infiniband QDR"
"146",2014-11-01,156,-3.725,176,146,347400,448,775.4464286,"Xtreme-X GreenBlade GB512X, Xeon E5-2670 8C 2.600GHz, Infiniband QDR"
"152",2014-11-01,157,-3.726,166,152,336800,421.2,799.620133,"Xtreme-X , Xeon E5-2670 8C 2.600GHz, Infiniband QDR"
"176",2014-11-01,158,-3.729,142,176,303965,347.26,875.3239648,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"157",2014-11-01,159,-3.731,167,157,331535,414.8,799.2647059,"IBM Flex System p460, POWER7  8C 3.550GHz, Infiniband QDR"
"234",2014-11-01,160,-3.742,100,234,245876,236.8,1038.327703,"SGI ICE X, Intel Xeon E5-2695v2 12C 2.400GHz, Infiniband FDR"
"244",2014-11-01,161,-3.748,99,244,238200,226.8,1050.26455,"Xtreme-X , Xeon E5-2670 8C 2.600GHz, Infiniband QDR, NVIDIA 2090"
"96",2014-11-01,162,-3.754,234,96,514900,1081.024,476.307649,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect , Intel Xeon Phi 5120D"
"39",2014-11-01,163,-3.755,369,39,1167000,5569,209.552882,"Cray XE6, Opteron 16C 2.500GHz, Cray Gemini interconnect"
"156",2014-11-01,164,-3.757,184,156,332000,453.6,731.9223986,"Xtreme-X GreenBlade GB512X, Xeon E5-2670 8C 2.600GHz, Infiniband QDR"
"47",2014-11-01,165,-3.761,342,47,1050000,4590,228.7581699,"Bull bullx super-node S6010/S6030"
"80",2014-11-01,166,-3.762,261,80,660243,1824.93,361.7908632,"Cray XE6, Opteron 6276 16C 2.30 GHz, Cray Gemini interconnect"
