"","top500rank","green500rank.g","site.g","manufacturer.g","computer.g","country.g","mflopswatt.g","power.g","how.g","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcores.t","rmax.t","rpeak.t","effeciency.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","accelerator.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t"
"158",158,21,"Geoscience (P)","IBM","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",865.88,99.14,"Submission","","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","Geoscience (P)","IBM","United States",2011,"Industry",6776,4928,85843,224483,38.24,0,0,99.14,865.88,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","NVIDIA 2090",6,"Xeon X56xx (Westmere-EP)","iDataPlex DX360M3","IBM iDataPlex","Infiniband","Infiniband","North America","Americas"
"159",159,22,"Geoscience (P)","IBM","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",865.88,99.14,"Submission","","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","Geoscience (P)","IBM","United States",2011,"Industry",6776,4928,85843,224483,38.24,0,0,99.14,865.88,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","NVIDIA 2090",6,"Xeon X56xx (Westmere-EP)","iDataPlex DX360M3","IBM iDataPlex","Infiniband","Infiniband","North America","Americas"
"160",160,23,"Geoscience (P)","IBM","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",865.88,99.14,"Submission","","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","Geoscience (P)","IBM","United States",2011,"Industry",6776,4928,85843,224483,38.24,0,0,99.14,865.88,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","NVIDIA 2090",6,"Xeon X56xx (Westmere-EP)","iDataPlex DX360M3","IBM iDataPlex","Infiniband","Infiniband","North America","Americas"
"161",161,24,"Geoscience (P)","IBM","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",865.88,99.14,"Submission","","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","Geoscience (P)","IBM","United States",2011,"Industry",6776,4928,85843,224483,38.24,0,0,99.14,865.88,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","NVIDIA 2090",6,"Xeon X56xx (Westmere-EP)","iDataPlex DX360M3","IBM iDataPlex","Infiniband","Infiniband","North America","Americas"
"162",162,25,"Geoscience (P)","IBM","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",865.88,99.14,"Submission","","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","Geoscience (P)","IBM","United States",2011,"Industry",6776,4928,85843,224483,38.24,0,0,99.14,865.88,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","NVIDIA 2090",6,"Xeon X56xx (Westmere-EP)","iDataPlex DX360M3","IBM iDataPlex","Infiniband","Infiniband","North America","Americas"
"163",163,26,"Geoscience (P)","IBM","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",865.88,99.14,"Submission","","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","Geoscience (P)","IBM","United States",2011,"Industry",6776,4928,85843,224483,38.24,0,0,99.14,865.88,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","NVIDIA 2090",6,"Xeon X56xx (Westmere-EP)","iDataPlex DX360M3","IBM iDataPlex","Infiniband","Infiniband","North America","Americas"
"164",164,27,"Geoscience (P)","IBM","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",865.88,99.14,"Submission","","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","Geoscience (P)","IBM","United States",2011,"Industry",6776,4928,85843,224483,38.24,0,0,99.14,865.88,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","NVIDIA 2090",6,"Xeon X56xx (Westmere-EP)","iDataPlex DX360M3","IBM iDataPlex","Infiniband","Infiniband","North America","Americas"
"165",165,28,"Geoscience (P)","IBM","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",865.88,99.14,"Submission","","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","Geoscience (P)","IBM","United States",2011,"Industry",6776,4928,85843,224483,38.24,0,0,99.14,865.88,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","NVIDIA 2090",6,"Xeon X56xx (Westmere-EP)","iDataPlex DX360M3","IBM iDataPlex","Infiniband","Infiniband","North America","Americas"
"166",166,29,"Geoscience (P)","IBM","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",865.88,99.14,"Submission","","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","Geoscience (P)","IBM","United States",2011,"Industry",6776,4928,85843,224483,38.24,0,0,99.14,865.88,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","NVIDIA 2090",6,"Xeon X56xx (Westmere-EP)","iDataPlex DX360M3","IBM iDataPlex","Infiniband","Infiniband","North America","Americas"
"167",167,360,"Web Company (C)","Hewlett-Packard","Cluster Platform 4000 BL685c G7, Opteron 6136 8C 2.40 GHz, Gigabit Ethernet","China",130.16,648,"derived","","Cluster Platform 4000 BL685c G7, Opteron 6136 8C 2.40 GHz, Gigabit Ethernet","Web Company (C)","Hewlett-Packard","China",2011,"Industry",17280,0,84344,165888,50.84,0,0,NA,NA,"Cluster","Opteron 6136 8C 2.40GHz","AMD x86_64",2400,"Linux","Linux","None",8,"Opteron 8 Core","Cluster Platform 4000 BL685c G7","HP Cluster Platform 4000BL","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"168",168,369,"Lawrence Livermore National Laboratory","Appro International","Appro Xtreme-X3 Opteron 2.0GHz, Infiniband DDR","United States",118.69,700,"Top500","Graph","Appro Xtreme-X3 Opteron 2.0GHz, Infiniband DDR","Lawrence Livermore National Laboratory","Appro International","United States",2009,"Research",13440,0,83080,107500,77.28,1370880,685440,700,118.69,"Cluster","Opteron Quad Core 4C 2.00GHz","AMD x86_64",2000,"Linux","Linux","None",4,"Opteron Quad Core","Appro Xtreme-X3","Appro XtremeServer","Infiniband","Infiniband DDR","North America","Americas"
"169",169,379,"Los Alamos National Laboratory","Appro International","Appro Xtreme Opteron 2 GHz, Infiniband QDR","United States",108.89,762.69,"Derived","Typhoon","Appro Xtreme Opteron 2 GHz, Infiniband QDR","Los Alamos National Laboratory","Appro International","United States",2011,"Research",13312,0,83050,106500,77.98,873600,436800,NA,NA,"Cluster","Opteron 6128 8C 2.00GHz","AMD x86_64",2000,"Linux","Linux","None",8,"Opteron 8 Core","Appro XtremeServers","Appro XtremeServer","Infiniband","Infiniband QDR","North America","Americas"
"170",170,194,"Stony Brook/BNL, New York Center for Computational Sciences","IBM","eServer Blue Gene Solution","United States",203.87,403,"Submission","New York Blue","eServer Blue Gene Solution","Stony Brook/BNL, New York Center for Computational Sciences","IBM","United States",2007,"Research",36864,0,82161,103219.2,79.6,0,0,403,203.87,"MPP","PowerPC 440 2C 700MHz","Power",700,"CNK/SLES 9","Mixed","None",2,"PowerPC 440","BlueGene/L","IBM BlueGene","Proprietary Network","Proprietary","North America","Americas"
"171",171,205,"Financial Services (H)","IBM","iDataPlex DX360M3, Xeon E5649 6C 2.53 GHz, Gigabit Ethernet","United States",196,418.14,"Submission","","iDataPlex DX360M3, Xeon E5649 6C 2.53 GHz, Gigabit Ethernet","Financial Services (H)","IBM","United States",2011,"Industry",14544,0,81956,147185,55.68,0,0,418.14,196,"Cluster","Xeon E5649 6C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",6,"Xeon E56xx (Westmere-EP)","iDataPlex DX360M3","IBM iDataPlex","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
